global_position,country_code,team_name,country,global_pnl
5784,GB,K4J,United Kingdom,-80735.0
5785,GB,Magi,United Kingdom,-82341.0
5786,US,Hard to stop a TRANE,United States,-82611.0
5787,US,Irwin Holdings LLC,United States,-84098.0
5788,IN,Hidden Layer,India,-86104.0
5789,IN,HackHorizon,India,-86113.0
5790,IN,Hukum,India,-87500.0
5791,IN,localhost,India,-87586.0
5792,IN,Say yes to arbitrage,India,-90052.0
5793,US,bannedhunnids,United States,-90542.0
5794,IN,NDP,India,-91592.0
5795,IN,ByteRaiders,India,-92116.0
5796,IN,OGWinners,India,-92331.0
5797,IN,Margin of error,India,-94256.0
5798,IN,Wolves,India,-95162.0
5799,IN,RS13,India,-97099.0
5800,IT,Stoic,Italy,-97257.0
5801,US,tte trading,United States,-100321.0
5802,GB,Team Artemis,United Kingdom,-100631.0
5803,IN,Shortsellers,India,-103318.0
5804,CA,Implied Copium,Canada,-104585.0
5805,IN,fantastic facchas,India,-109315.0
5806,IN,Beyond Nexus,India,-110534.0
5807,AF,nayantest1,Afghanistan,-110975.0
5808,IN,Erdos Cat,India,-111000.0
5809,IN,Prime28,India,-112363.0
5810,NL,Black Hole Brokers,Netherlands,-115900.0
5811,IN,The Dark Drive,India,-119184.0
5812,CA,AlphaDuck,Canada,-119575.0
5813,US,Poisson,United States,-120024.0
5814,CA,MNSR,Canada,-120152.0
5815,GB,ITry,United Kingdom,-121663.0
5816,US,Team 2,United States,-121785.0
5817,FR,Alpha Centurion,France,-124062.0
5818,IN,Tick Tacticians,India,-124066.0
5819,NZ,Kiwi Supremacy,New Zealand,-125139.0
5820,IN,5 Loafers,India,-126535.0
5821,IN,Amartya Amritanshu,India,-126622.0
5822,IN,DG_13,India,-126829.0
5823,GB,SoloGardener,United Kingdom,-127253.0
5824,IN,Alpha_One,India,-129825.0
5825,IN,Microstructure,India,-130026.0
5826,US,vibetraders33,United States,-139237.0
5827,MT,Fonsito,Malta,-140300.0
5828,PL,Whitefielders,Poland,-143254.0
5829,US,Rich,United States,-144853.0
5830,IN,Xtreme77,India,-151734.0
5831,FR,InspectElementPNL,France,-155397.0
5832,US,lolmeta,United States,-160543.0
5833,IN,TechTraders,India,-166038.0
5834,IN,Chennai Sharks,India,-170090.0
5835,IN,Order Book Ninjas,India,-170468.0
5836,IN,Adamaris,India,-171684.0
5837,IN,BBH,India,-175189.0
5838,CN,123456789,China,-184729.0
5839,US,Marleans,United States,-193484.0
5840,IN,Bvp trades,India,-202573.0
5841,US,United States Empire,United States,-202788.0
5842,IN,Newspaper,India,-207809.0
5843,BE,Double-Or-Nothing,Belgium,-216654.0
5844,IN,The Caterpillar,India,-226109.0
5845,AU,IMCingProsperity,Australia,-242910.0
5846,US,NaCl,United States,-244000.0
5847,PT,recomecar,Portugal,-253633.0
5848,IN,AstroNotBrokers,India,-285566.0
5849,IN,Atreides of Milky Way,India,-288308.0
5850,IN,The Oppenheimer,India,-300772.0
5851,IN,Venkey,India,-301073.0
5852,IN,Team lite,India,-314417.0
5853,NG,TradeCore,Nigeria,-318891.0
5854,IN,Alphago,India,-319744.0
5855,AU,Odyssey,Australia,-330468.0
5856,IN,Prime Edge,India,-333434.0
5857,GB,The dubious bunch,United Kingdom,-335362.0
5858,IN,Knight Riders,India,-337656.0
5859,IN,penguinzz,India,-349090.0
5860,IN,Akninja,India,-349988.0
5861,GB,skerai,United Kingdom,-352333.0
5862,DE,TC,Germany,-378174.0
5863,IN,Team_X,India,-387241.0
5864,IN,Money_Heist,India,-425605.0
5865,IN,TechTrader,India,-429085.0
5866,IN,Alpha Makers,India,-458393.0
5867,IN,Dictionary,India,-473438.0
5868,IN,AbHogiKamai,India,-477429.0
5869,IN,Passionfruit,India,-519489.0
5870,FR,ISS 117,France,-530647.0
5871,IN,NSUTinit,India,-550701.0
5872,IN,Volatility Vanguard,India,-589602.0
5873,IN,RageByte,India,-643705.0
5874,IN,TeamNova,India,-719002.0
5875,AU,JUSTINGU,Australia,-801959.0
5876,JP,nabiteam,Japan,-808319.0
5877,IN,bsdk,India,-825880.0
5878,IN,not_my_quant,India,-1006928.0
5879,US,Great team,United States,-1441171.0
5880,US,Enterprise,United States,-1497831.0
5881,US,DragonFund,United States,-1652713.0
5882,IN,Stalwart,India,-1828308.0
5883,SG,101,Singapore,-2004383.0
5884,IN,Unpredictables,India,-2022927.0
5885,IN,ByteHogs,India,-2046964.0
5886,IN,GARUDA_,India,-2312248.0
5887,FR,1ce,France,-2652722.0
5888,IN,Alpha_Strikers,India,-2717940.0
5889,US,Marvdawg,United States,-2965625.0
