global_position,country_code,team_name,country,global_pnl
5539,US,riverWhales,United States,0.0
5539,IN,Krishmehrotr1985,India,0.0
5539,IN,a_learner,India,0.0
5539,IN,zone,India,0.0
5539,IN,ahhdityaa,India,0.0
5539,IN,loki_joki,India,0.0
5539,GB,coderivative,United Kingdom,0.0
5539,IN,Noobies,India,0.0
5539,IN,summa_random,India,0.0
5539,IN,Dexy,India,0.0
5539,IN,The VanGuard,India,0.0
5539,IN,Sakura,India,0.0
5539,IN,anshuoo7,India,0.0
5539,IN,L101,India,0.0
5539,IN,GODZEUS,India,0.0
5539,IN,Team01,India,0.0
5539,IN,Kantor,India,0.0
5539,IN,Ballu,India,0.0
5539,IN,Eminence_in_Shadow,India,0.0
5539,IN,Ruler,India,0.0
